FlowId,SrcAddr,DestAddr,TxPackets,RxPackets,LostPackets,PacketLossRate(%),Throughput(bps),DelaySum
1,10.0.0.15,10.0.0.3,4,4,0,0,28527.4,0.00390291
2,10.0.0.3,10.0.0.15,2,2,0,0,15498.2,0.00857926
3,10.0.0.14,10.0.0.1,4,4,0,0,28528.3,0.000794594
4,10.0.0.1,10.0.0.14,2,2,0,0,14682.9,0.00258504
5,10.0.0.14,10.0.0.8,4,4,0,0,28576.7,0.0037699
6,10.0.0.8,10.0.0.14,2,2,0,0,15493.3,0.00156806
7,10.0.0.1,10.0.0.12,4,4,0,0,28558.8,0.00687725
8,10.0.0.12,10.0.0.1,2,2,0,0,16378.8,0.00150506
9,10.0.0.6,10.0.0.13,4,4,0,0,28579.9,0.00879672
10,10.0.0.13,10.0.0.6,2,2,0,0,17017.5,0.00148709
11,10.0.0.11,10.0.0.12,4,4,0,0,28553.4,0.000825006
12,10.0.0.12,10.0.0.11,2,2,0,0,14703.1,0.00260303
13,10.0.0.7,10.0.0.11,4,4,0,0,28561.4,0.00676744
14,10.0.0.11,10.0.0.7,2,2,0,0,16348.1,0.0075351
15,10.0.0.4,10.0.0.8,4,4,0,0,28550.8,0.00182585
16,10.0.0.8,10.0.0.4,2,2,0,0,14955.1,0.000587052
17,10.0.0.5,10.0.0.8,4,4,0,0,28583.4,0.00385911
18,10.0.0.8,10.0.0.5,2,2,0,0,15503.3,0.00148704
19,10.0.0.13,10.0.0.3,4,4,0,0,28580,0.00774336
20,10.0.0.3,10.0.0.13,2,2,0,0,16683.4,0.00557304
21,10.0.0.4,10.0.0.11,4,4,0,0,28533.3,0.00379768
22,10.0.0.11,10.0.0.4,2,2,0,0,15475.8,0.00256707
23,10.0.0.13,10.0.0.9,4,4,0,0,28532.7,0.00788614
24,10.0.0.9,10.0.0.13,2,2,0,0,16697.9,0.00549209
25,10.0.0.7,10.0.0.2,4,4,0,0,28581.1,0.00171752
26,10.0.0.2,10.0.0.7,2,2,0,0,14945.7,0.00357506
27,10.0.0.3,10.0.0.7,4,4,0,0,28590.7,0.00978682
28,10.0.0.7,10.0.0.3,2,2,0,0,17378,0.00353005
29,10.0.0.2,10.0.0.12,4,4,0,0,28575.7,0.00777015
30,10.0.0.12,10.0.0.2,2,2,0,0,16671.8,0.00552806
31,10.0.0.12,10.0.0.9,4,4,0,0,28576.5,0.00474265
32,10.0.0.9,10.0.0.12,2,2,0,0,15768.1,0.00152311
33,10.0.0.2,10.0.0.7,6,6,0,0,148645,0.00193834
34,10.0.0.7,10.0.0.2,3,3,0,0,21403.6,0.00163316
35,10.0.0.13,10.0.0.15,4,4,0,0,28570.6,0.00270648
36,10.0.0.15,10.0.0.13,2,2,0,0,15198.9,0.00159505
37,10.0.0.4,10.0.0.5,4,4,0,0,28557.1,0.00179065
38,10.0.0.5,10.0.0.4,2,2,0,0,14950.4,0.00460101
39,10.0.0.7,10.0.0.14,4,4,0,0,28552.2,0.00878582
40,10.0.0.14,10.0.0.7,2,2,0,0,16993.5,0.00254004
41,10.0.0.12,10.0.0.10,4,4,0,0,28541.6,0.00188209
42,10.0.0.10,10.0.0.12,2,2,0,0,14955.1,0.00853404
