time,uav0_pdr,uav0_delay,uav0_throughput,uav1_pdr,uav1_delay,uav1_throughput,uav2_pdr,uav2_delay,uav2_throughput,uav3_pdr,uav3_delay,uav3_throughput,uav4_pdr,uav4_delay,uav4_throughput,uav5_pdr,uav5_delay,uav5_throughput,uav6_pdr,uav6_delay,uav6_throughput,uav7_pdr,uav7_delay,uav7_throughput,uav8_pdr,uav8_delay,uav8_throughput,uav9_pdr,uav9_delay,uav9_throughput,uav10_pdr,uav10_delay,uav10_throughput,uav11_pdr,uav11_delay,uav11_throughput,uav12_pdr,uav12_delay,uav12_throughput,uav13_pdr,uav13_delay,uav13_throughput,uav14_pdr,uav14_delay,uav14_throughput
0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2,1,0.00425548,28053.3,1,0.00792997,14026.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.2,1,0.00298452,107113,1,0.00280472,99461.8,1,0.00267665,91810.9,1,0.00274442,76509.1,0.5,0.00105496,34429.1,0.5,0.00093622,30603.6,0.5,0.00121725,26778.2,0.5,0.00129746,22952.7,1,0.00254507,30603.6,1,0.0045055,22952.7,0.5,0.00199816,7650.91,0,0,0,0,0,0,0,0,0,0,0,0
3.2,1,0.00340804,136760,1,0.00282142,131500,1,0.00250849,126240,1,0.00251019,120980,0.5,0.000883612,55230,0.5,0.00082756,52600,0.5,0.000925393,49970,0.5,0.000935928,47340,1,0.00238452,89420,1,0.00318188,78900,0.5,0.000932691,36820,0,0,0,0.5,0.00111426,31560,0,0,0,0,0,0
4.2,0.987179,0.00363984,154293,1,0.00283154,148282,1,0.00244782,144274,1,0.00244709,140267,0.5,0.000834476,68129.5,0.5,0.000800395,64121.9,0.5,0.000859489,62118.1,0.5,0.000863621,60114.3,1,0.00236032,116221,1,0.00292574,112213,0.5,0.000850732,52099,0,0,0,0.5,0.000934762,48091.4,0,0,0,0,0,0
5.2,1,0.00370256,165083,1,0.00283468,161846,1,0.00241795,155372,1,0.00241736,152135,0.5,0.000813769,74449.2,0.5,0.000787315,72830.8,0.5,0.000830369,69593.8,0.5,0.000832632,67975.4,1,0.00234853,132714,1,0.0029838,129477,0.5,0.000818859,63120,0,0,0,0.5,0.000874928,58264.6,0,0,0,0,0,0
6.2,1,0.00378242,171035,1,0.00283244,168320,0.991803,0.00239941,164248,1,0.00239888,160175,0.5,0.000801631,78730.3,0.5,0.000780537,77372.9,0.5,0.000812905,76015.5,0.5,0.000815416,73300.6,1,0.0023459,143886,1,0.00290915,141172,0.5,0.00080386,69228.4,0,0,0,0.5,0.000845011,65156.1,0,0,0,0,0,0
7.2,1,0.003778,175333,1,0.00283303,172996,1,0.00238841,170658,0.993056,0.00238769,167151,0.5,0.000793655,81822.2,0.5,0.000776117,80653.3,0.5,0.000802712,79484.4,0.5,0.000803724,78315.6,1,0.00234375,151956,1,0.0029251,149618,0.5,0.000794575,73640,0,0,0,0.5,0.000825884,71302.2,0,0,0,0,0,0
8.2,1,0.00378677,178583,1,0.00283352,176531,1,0.00238061,174478,1,0.00237863,172425,0.493976,0.000788013,84160,0.5,0.000773006,83133.7,0.5,0.000795576,82107.3,0.5,0.000796348,81081,1,0.00234081,160109,1,0.00292627,156004,0.5,0.000788261,76975.6,0,0,0,0.5,0.000814275,74922.9,0,0,0,0,0,0
9.2,1,0.0038218,182957,1,0.00283117,179297,1,0.00237494,177468,1,0.00237282,175638,0.5,0.000783509,86904.3,0.5,0.000770698,85074.8,0.5,0.000790302,84160,0.5,0.000790916,83245.2,1,0.00233954,164661,1,0.00291193,162831,0.5,0.000783689,79586.1,0,0,0,0.5,0.000805944,77756.5,0,0,0,0,0,0
