time,uav0_channel,uav0_power,uav0_rate,uav1_channel,uav1_power,uav1_rate,uav2_channel,uav2_power,uav2_rate,uav3_channel,uav3_power,uav3_rate,uav4_channel,uav4_power,uav4_rate,uav5_channel,uav5_power,uav5_rate,uav6_channel,uav6_power,uav6_rate,uav7_channel,uav7_power,uav7_rate,uav8_channel,uav8_power,uav8_rate,uav9_channel,uav9_power,uav9_rate,uav10_channel,uav10_power,uav10_rate,uav11_channel,uav11_power,uav11_rate,uav12_channel,uav12_power,uav12_rate,uav13_channel,uav13_power,uav13_rate,uav14_channel,uav14_power,uav14_rate
0.5,0,10.6011,10.6995,1,10.5088,10.7456,2,10.4902,10.7549,0,10.4403,10.7798,0,10.4487,10.7757,0,10.5001,10.75,0,10.5807,10.7096,0,10.6281,10.6859,0,10.8146,10.5927,0,11.1978,10.4011,0,10.5141,10.743,0,10.5875,10.7062,0,10.595,10.7025,0,10.8709,10.5645,0,10.4604,10.7698
5.5,0,10.6014,10.6993,1,10.5072,10.7464,2,10.4893,10.7554,0,10.4404,10.7798,0,10.4487,10.7757,0,10.5002,10.7499,0,10.5809,10.7096,0,10.628,10.686,0,10.8143,10.5929,0,11.1971,10.4015,0,10.5137,10.7432,0,10.5881,10.706,0,10.5957,10.7021,0,10.8701,10.565,0,10.4604,10.7698
10.5,0,10.6021,10.6989,1,10.513,10.7435,2,10.498,10.751,0,10.4416,10.7792,0,10.4495,10.7753,0,10.5007,10.7496,0,10.5813,10.7094,0,10.6284,10.6858,0,10.8145,10.5928,0,11.1974,10.4013,0,10.5159,10.7421,0,10.5885,10.7058,0,10.5959,10.7021,0,10.8701,10.5649,0,10.4612,10.7694
15.5,0,10.6058,10.6971,1,10.5152,10.7424,2,10.5032,10.7484,0,10.4424,10.7788,0,10.4491,10.7754,0,10.5,10.75,0,10.5804,10.7098,0,10.6266,10.6867,0,10.812,10.594,0,11.1968,10.4016,0,10.5186,10.7407,0,10.591,10.7045,0,10.5975,10.7012,0,10.8679,10.566,0,10.4612,10.7694
20.5,0,10.598,10.701,1,10.5045,10.7478,2,10.4519,10.7741,0,10.4317,10.7841,0,10.4437,10.7782,0,10.4951,10.7525,0,10.5756,10.7122,0,10.628,10.686,0,10.8185,10.5908,0,11.2088,10.3956,0,10.5117,10.7441,0,10.5772,10.7114,0,10.58,10.71,0,10.8859,10.557,0,10.4548,10.7726
25.5,0,10.5988,10.7006,1,10.5044,10.7478,2,10.4509,10.7745,0,10.4315,10.7843,0,10.445,10.7775,0,10.4948,10.7526,0,10.5752,10.7124,0,10.6285,10.6858,0,10.8192,10.5904,0,11.2096,10.3952,0,10.5116,10.7442,0,10.5771,10.7114,0,10.5791,10.7104,0,10.8869,10.5565,0,10.4546,10.7727
30.5,0,10.5993,10.7004,1,10.5034,10.7483,2,10.4505,10.7748,0,10.4313,10.7844,0,10.4468,10.7766,0,10.4947,10.7526,0,10.575,10.7125,0,10.6289,10.6855,0,10.8199,10.59,0,11.2105,10.3948,0,10.5119,10.7441,0,10.5766,10.7117,0,10.5779,10.7111,0,10.8882,10.5559,0,10.4545,10.7727
35.5,0,10.5985,10.7008,1,10.5031,10.7484,2,10.451,10.7745,0,10.4314,10.7843,0,10.446,10.777,0,10.4947,10.7526,0,10.5755,10.7122,0,10.6309,10.6845,0,10.8187,10.5907,0,11.2066,10.3967,0,10.5117,10.7442,0,10.5768,10.7116,0,10.5787,10.7107,0,10.887,10.5565,0,10.4547,10.7727
40.5,0,10.5995,10.7002,1,10.5034,10.7483,2,10.4514,10.7743,0,10.4323,10.7839,0,10.4476,10.7762,0,10.496,10.752,0,10.5786,10.7107,0,10.6414,10.6793,0,10.8237,10.5882,0,11.191,10.4045,0,10.512,10.744,0,10.578,10.711,0,10.581,10.7095,0,10.8837,10.5582,0,10.456,10.772
45.5,0,10.6014,10.6993,1,10.5063,10.7468,2,10.4536,10.7732,0,10.4349,10.7826,0,10.4496,10.7752,0,10.4996,10.7502,0,10.5778,10.7111,0,10.6492,10.6754,0,10.8267,10.5866,0,11.2054,10.3973,0,10.5137,10.7432,0,10.5812,10.7094,0,10.5855,10.7073,0,10.8804,10.5598,0,10.4589,10.7706
